# Adélka škola — Aplikovaná chemie 28-44-M/01, 2. ročník
# VOŠZ a SZŠ Praha 1, Alšovo nábřeží 6
# Formát: Otázka?;správná;špatná;špatná(;špatná);~vysvětlení

#TÉMA: Organická chemie — základy a vazby
Z čeho je tvořena buněčná stěna rostlin?;z celulózy;z chitinu;z peptidoglykanu;z bílkovin;~U hub je to chitin, u bakterií peptidoglykan.
Kde je uložena genetická informace buňky?;v DNA;v bílkovinách;v tucích;v cukrech;~Deoxyribonukleová kyselina v jádře i mitochondriích.
Jaký tvar má molekula DNA?;dvoušroubovice;jednoduchá spirála;kruh;kříž;~Model popsali Watson a Crick roku 1953.
Které báze se v DNA párují s adeninem?;thymin;guanin;cytosin;uracil;~V RNA se místo thyminu páruje uracil.
Které báze se v DNA párují s guaninem?;cytosin;adenin;thymin;uracil;~Spojují je tři vodíkové můstky.
Čím se liší RNA od DNA?;obsahuje ribózu a uracil;obsahuje thymin;je vždy dvouvláknová;nemá báze;~RNA je zpravidla jednovláknová.
Co je gen?;úsek DNA nesoucí informaci pro znak;celá buňka;bílkovina;chromozom;~Většinou kóduje jednu bílkovinu.
Kolik chromozomů má lidská somatická buňka?;46;23;48;44;~Dvacet tři párů, z toho jeden pár pohlavní.
Kolik chromozomů má lidská pohlavní buňka?;23;46;22;92;~Vzniká meiózou, obsahuje poloviční počet.
Jak se jmenuje dělení vedoucí ke dvěma identickým buňkám?;mitóza;meióza;pučení;konjugace;~Slouží k růstu a obnově tkání.
Jak se jmenuje redukční dělení?;meióza;mitóza;amitóza;pučení;~Vznikají čtyři buňky s polovičním počtem chromozomů.
Co je fotosyntéza?;přeměna oxidu uhličitého a vody na cukr za pomoci světla;spalování cukru;rozklad bílkovin;tvorba tuků;~Vedlejším produktem je kyslík.
Kde probíhá světelná fáze fotosyntézy?;v thylakoidech chloroplastu;ve stromatu;v mitochondrii;v jádře;~V membránách s fotosystémy.
Co je buněčné dýchání?;oxidace živin za vzniku ATP;tvorba cukru;výměna plynů v plicích;transport kyslíku;~Probíhá v mitochondriích.
Kolik ATP vznikne úplnou oxidací jedné molekuly glukózy?;přibližně 30 až 32;dvě;deset;sto;~Nejvíc energie dodá dýchací řetězec.
Co je ATP?;univerzální přenašeč energie v buňce;stavební bílkovina;typ cukru;hormon;~Adenosintrifosfát uvolní energii odštěpením fosfátu.
Kdo je zakladatelem genetiky?;Gregor Johann Mendel;Charles Darwin;Louis Pasteur;Carl Linné;~Své pokusy s hrachem prováděl v Brně.
Co je genotyp?;soubor genetické informace jedince;vnější projev znaků;počet chromozomů;typ buňky;~Fenotyp je jeho vnější projev.
Co je fenotyp?;vnější projev genotypu a prostředí;jen genetická výbava;počet genů;typ dělení;~Ovlivňuje ho i výživa a prostředí.
Co je homozygot?;jedinec se dvěma stejnými alelami;se dvěma různými alelami;bez alel;s jednou alelou;~Například AA nebo aa.
Co je heterozygot?;jedinec se dvěma různými alelami;se dvěma stejnými;bez alel;s trojicí alel;~Například Aa, projeví se dominantní alela.
Co je dominantní alela?;alela projevující se i v heterozygotní sestavě;projevující se jen u homozygota;neúčinná alela;pohlavní alela;~Značí se velkým písmenem.
Kolik krevních skupin má systém AB0?;čtyři;dvě;tři;osm;~A, B, AB a 0.
Která krevní skupina je univerzálním dárcem?;0;AB;A;B;~Nemá na erytrocytech antigeny A ani B.
Která krevní skupina je univerzálním příjemcem?;AB;0;A;B;~Nemá v plazmě protilátky anti-A ani anti-B.
Co jsou enzymy?;biokatalyzátory bílkovinné povahy;hormony;vitaminy;tuky;~Urychlují reakce a jsou vysoce specifické.
Co je aktivní místo enzymu?;část molekuly vážící substrát;obal enzymu;jádro;membrána;~Platí model zámku a klíče.
Co se stane s enzymem při vysoké teplotě?;denaturuje a ztratí funkci;zrychlí se natrvalo;změní se v cukr;nic;~Poruší se prostorová struktura bílkoviny.
Co jsou vitaminy?;nízkomolekulární látky nezbytné v malém množství;zdroje energie;stavební bílkoviny;minerály;~Tělo si je většinou neumí vyrobit.
Který vitamin chrání před kurdějemi?;vitamin C;vitamin A;vitamin D;vitamin K;~Kyselina askorbová je nutná pro tvorbu kolagenu.
Který vitamin vzniká v kůži působením slunce?;vitamin D;vitamin C;vitamin B12;vitamin E;~Nezbytný pro vstřebávání vápníku.
Které vitaminy jsou rozpustné v tucích?;A, D, E, K;B a C;jen C;jen B12;~Mohou se v těle hromadit a předávkovat.
Co jsou hormony?;látky řídící činnost orgánů, přenášené krví;trávicí enzymy;stavební látky;vitaminy;~Produkují je žlázy s vnitřní sekrecí.
Který hormon snižuje hladinu cukru v krvi?;inzulin;glukagon;adrenalin;tyroxin;~Vytváří se ve slinivce břišní.
Který hormon zvyšuje hladinu cukru v krvi?;glukagon;inzulin;estrogen;melatonin;~Působí opačně než inzulin.
Co je diabetes mellitus?;porucha metabolismu cukrů s vysokou glykemií;nemoc jater;nedostatek vitaminu C;porucha srážlivosti;~První typ je nedostatek inzulinu, druhý inzulinová rezistence.
Co jsou bakterie?;jednobuněčné organismy bez pravého jádra;viry;houby;prvoci;~Patří mezi prokaryota.
Jsou viry živé organismy?;nemají vlastní metabolismus, množí se jen v hostiteli;ano, jsou plně samostatné;jsou to bakterie;jsou to houby;~Stojí na hranici mezi živým a neživým.
Čím se léčí bakteriální infekce?;antibiotiky;antivirotiky;vitaminy;antihistaminiky;~Na viry antibiotika nepůsobí.
Proč je nadužívání antibiotik problém?;vzniká rezistence bakterií;antibiotika zdraží;ničí viry;způsobují alergie vždy;~Odolné kmeny se pak obtížně léčí.
Co je sterilizace?;úplné zničení všech mikroorganismů včetně spor;snížení počtu mikrobů;mytí;filtrace;~Například v autoklávu při 121 stupních.
Co je dezinfekce?;zničení většiny choroboplodných mikroorganismů;zničení úplně všech;mechanický úklid;filtrace vzduchu;~Nezničí spolehlivě spory.
Co je autokláv?;přístroj sterilizující nasycenou párou pod tlakem;sušárna;chladnička;odstředivka;~Standardně 121 stupňů po dobu 15 až 20 minut.
Co je pasterizace?;šetrné zahřátí potraviny k usmrcení mikrobů;úplná sterilizace;zmrazení;sušení;~Zavedl ji Louis Pasteur, prodlužuje trvanlivost mléka.

#TÉMA: Fyzika a cvičení z fyziky
Co je vnitřní energie tělesa?;součet energií neuspořádaného pohybu částic;energie polohy;kinetická energie tělesa;elektrická energie;~Lze ji měnit konáním práce nebo tepelnou výměnou.
Co říká první termodynamický zákon?;změna vnitřní energie se rovná dodanému teplu a práci;energie se ztrácí;teplo jde vždy od studeného;entropie klesá;~Je to zákon zachování energie pro tepelné děje.
Co říká druhý termodynamický zákon?;teplo samovolně přechází z teplejšího na chladnější;teplo jde vždy nahoru;energie vzniká;práce se rovná teplu;~Nelze sestrojit perpetuum mobile druhého druhu.
Jaký je vztah pro teplo přijaté látkou?;Q = m · c · Δt;Q = m · v;Q = F · s;Q = U · I;~c je měrná tepelná kapacita.
Co je měrná tepelná kapacita?;teplo na ohřátí 1 kg látky o 1 K;celkové teplo látky;teplota tání;hustota;~Voda má vysokou hodnotu 4180 J/(kg·K).
Co je kalorimetrická rovnice?;teplo odevzdané se rovná teplu přijatému;práce se rovná energii;tlak se rovná síle;odpor se rovná napětí;~Platí pro izolovanou soustavu.
Co je stavová rovnice ideálního plynu?;pV = nRT;p = F/S;E = mc²;U = RI;~Spojuje tlak, objem, látkové množství a teplotu.
Jaká je hodnota molární plynové konstanty?;8,31 J/(mol·K);9,81 J/(mol·K);6,02·10²³;1,60·10⁻¹⁹;~Značí se R.
Jaký je molární objem plynu za normálních podmínek?;22,4 litru;24,0 litru;18,0 litru;10,0 litru;~Za 0 °C a 101,325 kPa.
Co říká Boylův-Mariottův zákon?;při stálé teplotě je součin tlaku a objemu konstantní;tlak roste s teplotou;objem roste s teplotou;tlak je stálý;~Izotermický děj.
Co říká Gay-Lussacův zákon?;při stálém objemu je tlak úměrný teplotě;objem je úměrný tlaku;teplota je stálá;tlak je stálý;~Izochorický děj.
Co je izobarický děj?;děj za stálého tlaku;za stálého objemu;za stálé teploty;bez výměny tepla;~Objem je úměrný termodynamické teplotě.
Co je adiabatický děj?;děj bez výměny tepla s okolím;za stálé teploty;za stálého tlaku;za stálého objemu;~Například rychlé stlačení plynu.
Jaká je jednotka termodynamické teploty?;kelvin;stupeň Celsia;stupeň Fahrenheita;joule;~Nula kelvinů je absolutní nula.
Kolik kelvinů je 0 °C?;273,15 K;0 K;100 K;373,15 K;~K teplotě ve stupních Celsia se přičítá 273,15.
Co je elektrický proud?;usměrněný pohyb volných nosičů náboje;pohyb atomů;přenos tepla;pohyb molekul;~Jednotkou je ampér.
Co říká Ohmův zákon?;proud je přímo úměrný napětí a nepřímo úměrný odporu;proud je roven napětí;odpor je roven proudu;napětí je stálé;~I = U/R.
Jaká je jednotka elektrického odporu?;ohm;volt;ampér;watt;~Značí se řeckým písmenem omega.
Na čem závisí odpor vodiče?;na materiálu, délce a průřezu;jen na napětí;jen na proudu;na barvě;~R = ρ · l / S.
Jaký je vztah pro elektrický výkon?;P = U · I;P = U/I;P = I/U;P = U + I;~Jednotkou je watt.
Co je elektrolýza z pohledu fyziky?;vedení proudu v roztoku spojené s vylučováním látek;vedení proudu v kovu;vedení v plynu;vedení ve vakuu;~Nosiči náboje jsou ionty.
Co říká první Faradayův zákon elektrolýzy?;hmotnost vyloučené látky je úměrná prošlému náboji;hmotnost je úměrná napětí;objem je úměrný času;proud je stálý;~m = A · I · t.
Jaká částice je nositelem záporného náboje v kovu?;elektron;proton;neutron;iont;~V kovech se pohybují volné elektrony.
Co je magnetická indukce?;veličina popisující silové účinky magnetického pole;počet siločar;magnetický náboj;odpor cívky;~Jednotkou je tesla.
Co je elektromagnetická indukce?;vznik napětí při změně magnetického toku;stálý proud v cívce;odpor vodiče;přeměna tepla;~Objevil ji Michael Faraday, je základem generátorů.
Jaká je rychlost světla ve vakuu?;přibližně 3·10⁸ m/s;3·10⁶ m/s;3·10¹⁰ m/s;340 m/s;~Přesně 299 792 458 metrů za sekundu.
Co je index lomu?;poměr rychlosti světla ve vakuu k rychlosti v látce;úhel lomu;vlnová délka;frekvence;~Měří se refraktometrem, slouží k identifikaci látek.
K čemu se v laboratoři používá refraktometr?;k měření indexu lomu a určení koncentrace;k měření pH;k vážení;k měření tlaku;~Rychlá kontrola čistoty kapalin.
Co je spektrofotometrie?;měření absorpce světla roztokem;měření hmotnosti;měření objemu;měření teploty;~Základ kvantitativní analýzy podle Lambertova-Beerova zákona.
Co říká Lambertův-Beerův zákon?;absorbance je úměrná koncentraci a délce kyvety;absorbance je stálá;koncentrace je úměrná času;světlo se neabsorbuje;~A = ε · c · l.

#TÉMA: Matematika
Co je definiční obor funkce?;množina hodnot, pro které je funkce definována;množina výsledků;graf funkce;maximum funkce;~Například u odmocniny musí být výraz nezáporný.
Co je obor hodnot funkce?;množina všech výstupních hodnot;množina vstupů;počet řešení;derivace;~U kvadratické funkce bývá omezen vrcholem.
Jaký graf má lineární funkce?;přímku;parabolu;hyperbolu;kružnici;~Předpis y = ax + b.
Jaký graf má kvadratická funkce?;parabolu;přímku;hyperbolu;sinusoidu;~Předpis y = ax² + bx + c.
Kdy má parabola minimum?;když je koeficient a kladný;když je a záporný;vždy;nikdy;~Při kladném a je parabola otevřená nahoru.
Jaký je diskriminant kvadratické rovnice?;b² − 4ac;b² + 4ac;2a;−b/2a;~Podle jeho znaménka poznáme počet řešení.
Kolik řešení má kvadratická rovnice při záporném diskriminantu?;žádné v reálných číslech;jedno;dvě;nekonečně mnoho;~V oboru komplexních čísel existují dvě řešení.
Kolik řešení má rovnice při nulovém diskriminantu?;jedno dvojnásobné;dvě různá;žádné;tři;~Parabola se dotýká osy x.
Co je logaritmus?;exponent, na který umocníme základ, abychom dostali číslo;odmocnina;převrácená hodnota;derivace;~Log o základu 10 z tisíce je tři.
Čemu se rovná log(a · b)?;log a + log b;log a · log b;log a − log b;log a / log b;~Součin se mění v součet, což usnadňuje výpočty.
Čemu se rovná log(a / b)?;log a − log b;log a + log b;log a / log b;log(a·b);~Podíl se mění v rozdíl.
Jak souvisí pH s logaritmem?;pH je záporný dekadický logaritmus koncentrace vodíkových iontů;pH je součet koncentrací;pH je odmocnina;pH nesouvisí s logaritmem;~Proto změna o jednotku znamená desetinásobek.
Jaké pH má neutrální roztok při 25 °C?;7;0;14;1;~Koncentrace vodíkových iontů je 10⁻⁷ mol/l.
O kolik se změní koncentrace při poklesu pH o 2?;stoupne stokrát;stoupne dvakrát;klesne stokrát;nezmění se;~Logaritmická stupnice je mocninná.
Co je aritmetická posloupnost?;každý další člen se liší o stálý rozdíl;o stálý podíl;o druhou mocninu;náhodně;~Například 2, 5, 8, 11.
Co je geometrická posloupnost?;každý další člen vznikne násobením stálým číslem;přičítáním stálého čísla;odčítáním;dělením nulou;~Například 2, 6, 18, 54.
Jaký je vzorec pro obsah kruhu?;π r²;2π r;π d;r²;~Obvod je 2πr.
Jaký je vzorec pro objem koule?;4/3 π r³;π r²;4 π r²;2/3 π r³;~Povrch koule je 4πr².
Jaký je vzorec pro objem válce?;π r² · v;2π r · v;π r · v;r² · v;~Podstavou je kruh.
Kolik procent je 0,25?;25 %;2,5 %;250 %;0,25 %;~Procento je setina celku.
Jak spočítáme hmotnostní zlomek?;hmotnost složky děleno hmotnost roztoku;hmotnost roztoku děleno složky;objem děleno hmotností;součet hmotností;~Vyjadřuje se často v procentech.
Jak spočítáme látkovou koncentraci?;látkové množství děleno objem roztoku;hmotnost děleno objem;objem děleno hmotnost;počet částic;~Jednotkou je mol na litr.
Jaká je Avogadrova konstanta?;6,022·10²³ mol⁻¹;3·10⁸;8,31;9,81;~Počet částic v jednom molu látky.
Jak vypočítáme látkové množství z hmotnosti?;n = m / M;n = m · M;n = M / m;n = m + M;~M je molární hmotnost v gramech na mol.
Co je směšovací rovnice?;vztah pro výpočet koncentrace po smíchání roztoků;vzorec pro pH;vzorec pro objem;vztah pro hustotu;~Používá se křížové pravidlo.
Co je relativní chyba měření?;podíl absolutní chyby a naměřené hodnoty;rozdíl dvou měření;součet chyb;střední hodnota;~Vyjadřuje se v procentech.
Co je aritmetický průměr?;součet hodnot dělený jejich počtem;prostřední hodnota;nejčastější hodnota;rozdíl krajních hodnot;~U měření se používá k odhadu skutečné hodnoty.
Co je medián?;prostřední hodnota seřazené řady;průměr;nejčastější hodnota;rozptyl;~Není citlivý na odlehlé hodnoty.
Co je směrodatná odchylka?;míra rozptýlení hodnot kolem průměru;průměr hodnot;počet měření;největší hodnota;~Udává přesnost opakovaného měření.
Kolik platných číslic uvádíme ve výsledku?;podle přesnosti nejméně přesného vstupu;vždy dvě;vždy všechny z kalkulačky;vždy pět;~Výsledek nemůže být přesnější než měření.

#TÉMA: Dějepis, občanská nauka a ekonomika
Kdy začala první světová válka?;1914;1918;1939;1900;~Spouštěčem byl atentát na Františka Ferdinanda d'Este v Sarajevu.
Kdy vzniklo samostatné Československo?;28. října 1918;28. září 1918;1. ledna 1918;17. listopadu 1918;~Konec první světové války a rozpad Rakouska-Uherska.
Kdo byl prvním československým prezidentem?;Tomáš Garrigue Masaryk;Edvard Beneš;Emil Hácha;Klement Gottwald;~Ve funkci byl v letech 1918 až 1935.
Kdo byl prvním československým ministrem zahraničí?;Edvard Beneš;Milan Rastislav Štefánik;Karel Kramář;Antonín Švehla;~Později se stal druhým prezidentem.
Kdy byla podepsána Mnichovská dohoda?;29. září 1938;15. března 1939;1. září 1939;28. října 1938;~Československo přišlo o pohraničí bez své účasti na jednání.
Kdy začala druhá světová válka?;1. září 1939;15. března 1939;7. prosince 1941;8. května 1945;~Napadením Polska Německem.
Kdy skončila druhá světová válka v Evropě?;8. května 1945;9. května 1945;2. září 1945;28. října 1945;~Podepsáním kapitulace Německa.
Kdy proběhl komunistický převrat v Československu?;únor 1948;květen 1945;srpen 1968;listopad 1989;~Vítězný únor znamenal nástup totality.
Co je demokracie?;forma vlády, kde moc vychází z lidu;vláda jednoho člověka;vláda vojska;vláda církve;~Řecky vláda lidu.
Jaké jsou tři složky státní moci?;zákonodárná, výkonná a soudní;politická, ekonomická a sociální;vládní, stranická a lidová;místní, krajská a státní;~Dělba moci brání zneužití.
Kdo v České republice schvaluje zákony?;Parlament;prezident;vláda;Ústavní soud;~Poslanecká sněmovna a Senát.
Kolik poslanců má Poslanecká sněmovna?;200;81;100;300;~Volí se na čtyři roky poměrným systémem.
Kolik senátorů má Senát?;81;200;100;50;~Volí se na šest let, třetina se obměňuje každé dva roky.
Na jak dlouho je volen prezident ČR?;na pět let;na čtyři roky;na šest let;na sedm let;~Od roku 2013 přímou volbou.
Co je Ústava?;základní zákon státu;seznam trestů;vyhláška vlády;mezinárodní smlouva;~Má nejvyšší právní sílu.
Co je Listina základních práv a svobod?;součást ústavního pořádku ČR chránící lidská práva;trestní zákoník;občanský zákoník;evropská směrnice;~Zaručuje například svobodu projevu a právo na vzdělání.
Kdy vstoupila Česká republika do Evropské unie?;2004;1999;1993;2007;~Ve stejné vlně jako Slovensko a Polsko.
Kdy vstoupila Česká republika do NATO?;1999;2004;1993;1989;~Spolu s Polskem a Maďarskem.
Co je HDP?;hrubý domácí produkt;hlavní daňový příjem;hospodářský dluh podniku;hodnota domácího prodeje;~Souhrn hodnoty statků a služeb vytvořených v zemi.
Co je inflace?;růst cenové hladiny a pokles kupní síly peněz;pokles cen;růst mezd;růst výroby;~Měří se indexem spotřebitelských cen.
Co je deflace?;pokles cenové hladiny;růst cen;růst mezd;stagnace;~Může vést k odkládání spotřeby a útlumu ekonomiky.
Která instituce v ČR určuje měnovou politiku?;Česká národní banka;Ministerstvo financí;vláda;Nejvyšší kontrolní úřad;~Hlavním cílem je cenová stabilita.
Co je nabídka v ekonomii?;množství zboží, které jsou prodávající ochotni prodat;množství poptávaného zboží;cena zboží;výrobní náklad;~S rostoucí cenou nabídka roste.
Co je poptávka?;množství zboží, které jsou kupující ochotni koupit;množství vyrobeného zboží;zisk firmy;daň;~S rostoucí cenou poptávka klesá.
Kde se protíná nabídka s poptávkou?;v rovnovážné ceně;v nulové ceně;v maximální ceně;v nákladech;~Trh se ustálí na rovnovážném množství.
Co je zisk?;rozdíl mezi výnosy a náklady;součet tržeb;hodnota majetku;výše daně;~Kladný zisk znamená, že podnik vydělal.
Co je fixní náklad?;náklad nezávislý na objemu výroby;náklad rostoucí s výrobou;jednorázová daň;mzda dělníka za kus;~Například nájem nebo odpisy.
Co je variabilní náklad?;náklad měnící se s objemem výroby;stálý náklad;odpis budovy;pojistné;~Například spotřeba surovin.
Co je DPH?;daň z přidané hodnoty;daň z příjmu;daň z pozemku;dovozní clo;~Nepřímá daň placená v ceně zboží.
Co je živnostenský list dnes?;výpis ze živnostenského rejstříku;pracovní smlouva;daňové přiznání;certifikát jakosti;~Opravňuje k podnikání v dané živnosti.
Co je akciová společnost?;kapitálová společnost se základním kapitálem rozděleným na akcie;družstvo;spolek;osobní společnost;~Zkratka a.s., akcionáři neručí za dluhy osobním majetkem.
Co je společnost s ručením omezeným?;nejrozšířenější forma obchodní společnosti v ČR;státní podnik;nezisková organizace;družstvo;~Zkratka s.r.o.
Co je marketing?;soubor činností zaměřených na potřeby zákazníka a prodej;výroba zboží;účetnictví;právní služba;~Zahrnuje průzkum trhu, cenu, propagaci i distribuci.
Co je reklamace?;uplatnění práva z vadného plnění;vrácení bez důvodu;sleva na dani;objednávka;~Zákonná záruka pro spotřebitele je 24 měsíců.

#TÉMA: Informační a komunikační technologie
Co je hardware?;fyzické součásti počítače;programy;data;síť;~Například procesor, paměť, disk.
Co je software?;programové vybavení počítače;fyzické součásti;kabeláž;monitor;~Operační systém i aplikace.
Co je operační systém?;základní software řídící chod počítače;textový editor;antivirus;tabulkový procesor;~Například Windows, Linux nebo macOS.
Která jednotka je největší?;terabajt;gigabajt;megabajt;kilobajt;~Terabajt je zhruba tisíc gigabajtů.
Kolik bitů má jeden bajt?;osm;čtyři;šestnáct;deset;~Bajt umí zapsat 256 různých hodnot.
K čemu slouží tabulkový procesor?;k výpočtům a analýze dat v tabulkách;k psaní dopisů;k úpravě fotek;k tvorbě webu;~Například Excel nebo Calc.
Čím začíná vzorec v tabulkovém procesoru?;znaménkem rovná se;závorkou;plusem;písmenem;~Bez rovnítka se text nevyhodnotí.
Která funkce sečte oblast buněk?;SUMA;PRŮMĚR;POČET;MAX;~Anglicky SUM.
Která funkce spočítá aritmetický průměr?;PRŮMĚR;SUMA;MEDIAN;MIN;~Anglicky AVERAGE.
Co je absolutní odkaz v tabulce?;odkaz, který se při kopírování nemění;odkaz měnící se při kopírování;odkaz na jiný soubor;odkaz na internet;~Zapisuje se se znakem dolaru, například $A$1.
Který graf je vhodný pro podíly celku?;výsečový;spojnicový;bodový;plošný;~Ukazuje procentní zastoupení.
Který graf je vhodný pro vývoj v čase?;spojnicový;výsečový;prstencový;pruhový;~Osa x nese časovou řadu.
Co je kalibrační křivka?;závislost signálu na koncentraci standardů;graf teploty;časový harmonogram;histogram chyb;~V laboratoři se z ní odečítá koncentrace vzorku.
Co je LIMS?;laboratorní informační systém;typ chromatografu;chemický vzorec;bezpečnostní list;~Eviduje vzorky, výsledky a protokoly.
Co je phishing?;podvodné vylákání přihlašovacích údajů;typ viru ničícího disk;šifrování dat;zálohování;~Obvykle přichází podvodným e-mailem.
Co je silné heslo?;dlouhé, kombinující znaky, jedinečné pro službu;datum narození;jméno psa;stejné heslo všude;~Nejlepší je správce hesel.
Co je zálohování dat?;pořizování kopií pro případ ztráty;mazání starých souborů;komprimace;šifrování;~Doporučuje se pravidlo 3-2-1.
Co je GDPR?;evropské nařízení o ochraně osobních údajů;norma jakosti;bezpečnostní list;účetní standard;~Platí od května 2018.
Co je citace zdroje?;uvedení původu použité informace;vlastní názor;shrnutí;poznámka pod čarou obecně;~Bez citace jde o plagiát.
Co je plagiát?;vydávání cizí práce za vlastní;citovaný text;vlastní překlad;shrnutí knihy;~Ve škole i v praxi je to závažné provinění.
